GeneID	GeneSymbol	389Input_S1	389Neg_S3	389Pos_S5	391Input_S7	391Neg_S9	391Pos_S10	392Input_S11	392Neg_S12	392Pos_S2	396Input_S4	396Neg_S6	396Pos_S8
94249	Slc24a3	54.480907	52.667706	62.710705	62.82032	58.516426	73.24753	59.709736	54.961052	68.68478	59.44596	56.770294	65.70002
74030	Rin2	10.736699	12.640637	4.0004716	8.77455	11.078968	3.249096	8.385729	10.487727	3.4194324	9.806897	9.741021	3.7086701
67877	Naa20	54.981434	56.299023	63.2877	60.39923	55.272655	65.293495	63.982903	53.153225	73.39427	57.739872	58.59348	67.244835
66877	Crnkl1	6.746409	6.460772	9.636914	5.9427133	7.602941	8.813045	7.426161	5.2224813	7.920797	6.7434373	6.9618974	7.810645
53626	Insm1	2.1089811	1.8464899	1.7360907	2.9090426	2.900153	2.890255	2.9380312	2.301421	2.8705525	1.9660866	2.5066042	2.9147158
241694	Ralgapa2	2.067198	1.8766425	1.1566314	2.1826026	2.2826536	1.3121184	2.2203891	2.5619478	1.073019	2.299639	2.157159	1.1192125
228730	Plk1s1	9.598712	9.291653	7.215137	7.563545	8.612864	6.092786	9.343851	9.247518	7.2319803	9.060543	9.067795	7.071696
24128	Xrn2	14.343373	13.38266	15.826381	15.733704	14.969009	16.921413	13.807554	14.300921	17.784058	13.547323	14.5516815	17.455214
20608	Sstr4	4.2144623	3.3405814	3.787012	4.775735	4.94906	5.22872	4.1632795	4.6268425	4.802355	3.7736335	4.4933953	3.200911
21824	Thbd	3.2159789	3.355918	1.9542339	5.0918207	5.944996	2.661739	4.614446	5.9545937	2.0219784	4.5039434	4.7758927	2.1112998
17064	Cd93	0.31236178	0.52546614	0.3096649	0.48637342	0.5492188	0.1984921	0.8601425	1.019422	0.28876373	0.5089557	0.5892834	0.29485148
56488	Nxt1	8.600264	9.845384	11.409381	9.084441	10.262665	9.649789	9.610483	8.837139	10.366274	8.992546	9.428283	10.169086
74533	Gzf1	10.730076	9.254739	10.384105	11.284764	10.242185	10.954541	11.291422	10.940112	10.840133	11.597941	11.09545	11.360341
17957	Napb	100.439415	92.1317	117.602135	115.59346	104.53866	149.35736	109.18757	96.171074	142.20085	114.429115	104.45698	143.37622
13010	Cst3	2308.9214	2735.5754	471.5519	1751.1526	2175.947	373.8529	1914.73	2693.9678	377.91837	1799.953	2200.2104	459.53577
